VelocityX,VelocityY,VelocityZ,Time
0,0,0,1646627386.2544532
0.0,0.0,0.0,1646627386.2634554
0.0,0.0,0.0,1646627386.2674568
0.0,0.0,0.0,1646627386.2714572
0.0,0.0,0.0,1646627386.2754588
0.0,0.0,0.0,1646627386.2814634
0.0,0.0,0.0,1646627386.2864642
0.0,0.0,0.0,1646627386.2914658
0.0,0.0,0.0,1646627386.2954662
0.0,0.0,0.0,1646627386.2994676
0.0,0.0,0.0,1646627386.30347
0.0,0.0,0.0,1646627386.3074694
0.0,0.0,0.0,1646627386.3114705
0.0,0.0,0.0,1646627386.3184726
0.0,0.0,0.0,1646627386.3234732
0.0,0.0,0.0,1646627386.3284745
0.0,0.0,0.0,1646627386.332475
0.0,0.0,0.0,1646627386.33664
0.0,0.0,0.0,1646627386.339641
0.0,0.0,0.0,1646627386.3436418
0.0,0.0,0.0,1646627386.3516443
0.0,0.0,0.0,1646627386.3566456
0.0,0.0,0.0,1646627386.3606465
0.0,0.0,0.0,1646627386.3646474
0.0,0.0,0.0,1646627386.3685837
0.0,0.0,0.0,1646627386.3725855
0.0,0.0,0.0,1646627386.376586
0.0,0.0,0.0,1646627386.3805883
0.0,0.0,0.0,1646627386.3845882
0.0,0.0,0.0,1646627386.3885894
0.0,0.0,0.0,1646627386.3925903
0.0,0.0,0.0,1646627386.396587
0.0,0.0,0.0,1646627386.4005888
0.0,0.0,0.0,1646627386.404589
0.0,0.0,0.0,1646627386.4085913
0.0,0.0,0.0,1646627386.4125917
0.0,0.0,0.0,1646627386.4165924
0.0,0.0,0.0,1646627386.4205935
0.0,0.0,0.0,1646627386.4245942
0.0,0.0,0.0,1646627386.4285953
0.0,0.0,0.0,1646627386.4325962
0.0,0.0,0.0,1646627386.4365966
0.0,0.0,0.0,1646627386.4401402
0.0,0.0,0.0,1646627386.4445925
0.0,0.0,0.0,1646627386.4485936
0.0,0.0,0.0,1646627386.4525955
0.0,0.0,0.0,1646627386.4565976
0.0,0.0,0.0,1646627386.4601138
0.0,0.0,0.0,1646627386.4641154
0.0,0.0,0.0,1646627386.4681165
0.0,0.0,0.0,1646627386.472118
0.0,0.0,0.0,1646627386.476119
0.0,0.0,0.0,1646627386.480119
0.0,0.0,0.0,1646627386.4841208
0.0,0.0,0.0,1646627386.4886572
